Node,Day,Value
NJ,14,-999.0
NM,14,-999.0
NY,14,-999.0
NC,14,-999.0
ND,14,-999.0
OH,14,-999.0
OK,14,-999.0
OR,14,-999.0
PA,14,-999.0
RI,14,-999.0
SC,14,-999.0
SD,14,-999.0
TN,14,-999.0
TX,14,-999.0
UT,14,-999.0
VA,14,-999.0
VT,14,-999.0
WA,14,-999.0
WV,14,-999.0
WI,14,-999.0
WY,14,-999.0
ME_CN_E,14,-999.0
NH_CN_E,14,-999.0
VT_CN_E,14,-999.0
NY_CN_E,14,-999.0
MI_CN_E,14,-999.0
MN_CN_W,14,-999.0
ND_CN_W,14,-999.0
MT_CN_W,14,-999.0
ID_CN_W,14,-999.0
WA_CN_W,14,-999.0
TX_MX_NE,14,-999.0
AZ_MX_NW,14,-999.0
CA_MX_NW,14,-999.0
TX_MX_SS,14,-999.0
MX_NE,14,-999.0
MX_NW,14,-999.0
MX_IW,14,-999.0
MX_CE,14,-999.0
MX_SS,14,-999.0
CN_E,14,-999.0
CN_W,14,-999.0
AL,15,-999.0
AZ,15,-999.0
AR,15,-999.0
CA,15,-999.0
CO,15,-999.0
CT,15,-999.0
DC,15,-999.0
DE,15,-999.0
FL,15,-999.0
GA,15,-999.0
ID,15,-999.0
IL,15,-999.0
IN,15,-999.0
IA,15,-999.0
KS,15,-999.0
KY,15,-999.0
LA,15,-999.0
ME,15,-999.0
MD,15,-999.0
MA,15,-999.0
MI,15,-999.0
MN,15,-999.0
MS,15,-999.0
MO,15,-999.0
MT,15,-999.0
NE,15,-999.0
NV,15,-999.0
NH,15,-999.0
NJ,15,-999.0
NM,15,-999.0
NY,15,-999.0
NC,15,-999.0
ND,15,-999.0
OH,15,-999.0
OK,15,-999.0
OR,15,-999.0
PA,15,-999.0
RI,15,-999.0
SC,15,-999.0
SD,15,-999.0
TN,15,-999.0
TX,15,-999.0
UT,15,-999.0
VA,15,-999.0
VT,15,-999.0
WA,15,-999.0
WV,15,-999.0
WI,15,-999.0
WY,15,-999.0
ME_CN_E,15,-999.0
NH_CN_E,15,-999.0
VT_CN_E,15,-999.0
NY_CN_E,15,-999.0
MI_CN_E,15,-999.0
MN_CN_W,15,-999.0
ND_CN_W,15,-999.0
MT_CN_W,15,-999.0
ID_CN_W,15,-999.0
WA_CN_W,15,-999.0
TX_MX_NE,15,-999.0
AZ_MX_NW,15,-999.0
CA_MX_NW,15,-999.0
TX_MX_SS,15,-999.0
MX_NE,15,-999.0
MX_NW,15,-999.0
MX_IW,15,-999.0
MX_CE,15,-999.0
MX_SS,15,-999.0
CN_E,15,-999.0
CN_W,15,-999.0
AL,16,-999.0
AZ,16,-999.0
AR,16,-999.0
CA,16,-999.0
CO,16,-999.0
CT,16,-999.0
DC,16,-999.0
DE,16,-999.0
FL,16,-999.0
GA,16,-999.0
ID,16,-999.0
IL,16,-999.0
IN,16,-999.0
IA,16,-999.0
KS,16,-999.0
KY,16,-999.0
LA,16,-999.0
ME,16,-999.0
MD,16,-999.0
MA,16,-999.0
MI,16,-999.0
MN,16,-999.0
MS,16,-999.0
MO,16,-999.0
MT,16,-999.0
NE,16,-999.0
NV,16,-999.0
NH,16,-999.0
NJ,16,-999.0
NM,16,-999.0
NY,16,-999.0
NC,16,-999.0
ND,16,-999.0
OH,16,-999.0
OK,16,-999.0
OR,16,-999.0
PA,16,-999.0
RI,16,-999.0
SC,16,-999.0
SD,16,-999.0
TN,16,-999.0
TX,16,-999.0
UT,16,-999.0
VA,16,-999.0
VT,16,-999.0
WA,16,-999.0
WV,16,-999.0
WI,16,-999.0
WY,16,-999.0
ME_CN_E,16,-999.0
NH_CN_E,16,-999.0
VT_CN_E,16,-999.0
NY_CN_E,16,-999.0
MI_CN_E,16,-999.0
MN_CN_W,16,-999.0
ND_CN_W,16,-999.0
MT_CN_W,16,-999.0
ID_CN_W,16,-999.0
WA_CN_W,16,-999.0
TX_MX_NE,16,-999.0
AZ_MX_NW,16,-999.0
CA_MX_NW,16,-999.0
TX_MX_SS,16,-999.0
MX_NE,16,-999.0
MX_NW,16,-999.0
MX_IW,16,-999.0
MX_CE,16,-999.0
MX_SS,16,-999.0
CN_E,16,-999.0
CN_W,16,-999.0
AL,17,-999.0
AZ,17,-999.0
AR,17,-999.0
CA,17,-999.0
CO,17,-999.0
CT,17,-999.0
DC,17,-999.0
DE,17,-999.0
FL,17,-999.0
GA,17,-999.0
ID,17,-999.0
IL,17,-999.0
IN,17,-999.0
IA,17,-999.0
KS,17,-999.0
KY,17,-999.0
LA,17,-999.0
ME,17,-999.0
MD,17,-999.0
MA,17,-999.0
MI,17,-999.0
MN,17,-999.0
MS,17,-999.0
MO,17,-999.0
MT,17,-999.0
NE,17,-999.0
NV,17,-999.0
NH,17,-999.0
NJ,17,-999.0
NM,17,-999.0
NY,17,-999.0
NC,17,-999.0
ND,17,-999.0
OH,17,-999.0
OK,17,-999.0
OR,17,-999.0
PA,17,-999.0
RI,17,-999.0
SC,17,-999.0
SD,17,-999.0
TN,17,-999.0
TX,17,-999.0
UT,17,-999.0
VA,17,-999.0
VT,17,-999.0
WA,17,-999.0
WV,17,-999.0
WI,17,-999.0
WY,17,-999.0
ME_CN_E,17,-999.0
NH_CN_E,17,-999.0
VT_CN_E,17,-999.0
NY_CN_E,17,-999.0
MI_CN_E,17,-999.0
MN_CN_W,17,-999.0
ND_CN_W,17,-999.0
MT_CN_W,17,-999.0
ID_CN_W,17,-999.0
WA_CN_W,17,-999.0
TX_MX_NE,17,-999.0
AZ_MX_NW,17,-999.0
CA_MX_NW,17,-999.0
TX_MX_SS,17,-999.0
MX_NE,17,-999.0
MX_NW,17,-999.0
MX_IW,17,-999.0
MX_CE,17,-999.0
MX_SS,17,-999.0
CN_E,17,-999.0
CN_W,17,-999.0
AL,18,-999.0
AZ,18,-999.0
AR,18,-999.0
CA,18,-999.0
CO,18,-999.0
CT,18,-999.0
DC,18,-999.0
DE,18,-999.0
FL,18,-999.0
GA,18,-999.0
ID,18,-999.0
IL,18,-999.0
IN,18,-999.0
IA,18,-999.0
KS,18,-999.0
KY,18,-999.0
LA,18,-999.0
ME,18,-999.0
MD,18,-999.0
MA,18,-999.0
MI,18,-999.0
MN,18,-999.0
MS,18,-999.0
MO,18,-999.0
MT,18,-999.0
NE,18,-999.0
NV,18,-999.0
NH,18,-999.0
NJ,18,-999.0
NM,18,-999.0
NY,18,-999.0
NC,18,-999.0
ND,18,-999.0
OH,18,-999.0
OK,18,-999.0
OR,18,-999.0
PA,18,-999.0
RI,18,-999.0
SC,18,-999.0
SD,18,-999.0
TN,18,-999.0
TX,18,-999.0
