date,AL,AR,CA,CO,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NE,NM,NY,OH,OK,OR,PA,TN,TX,UT,VA,WA,WV,WY
2019-07-26,0.03962914106125667,0.010632814145324613,-0.12762900404149752,0.1100869993740887,0.2843277841639193,0.9558494128682637,0.10192086167156275,0.14701838115833651,0.3387374110811919,0.5338421460997317,0.05224434612007463,2.152834045106791,0.006296497384959403,0.01150999721970579,0.24191862835164898,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.36396119363107093,0.7244268865013035,0.2338078462160404,-0.006832526649242927,1.2207492252386993,0.005666847646463463,0.6502939001105184,0.08313486338574035,0.014074569747102071,-0.008395612166402397,0.7674009216188923,0.11271596730914195
2019-07-27,0.03962914106125667,0.010632814145324613,-0.12762900404149752,0.1100869993740887,0.2843277841639193,0.9558494128682637,0.10192086167156275,0.14701838115833651,0.3387374110811919,0.5338421460997317,0.05224434612007463,2.152834045106791,0.006296497384959403,0.01150999721970579,0.24191862835164898,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.36396119363107093,0.7244268865013035,0.2338078462160404,-0.006832526649242927,1.2207492252386993,0.005666847646463463,0.6502939001105184,0.08313486338574035,0.014074569747102071,-0.008395612166402397,0.7674009216188923,0.11271596730914195
2019-07-28,0.03962914106125667,0.010632814145324613,-0.12762900404149752,0.1100869993740887,0.2843277841639193,0.9558494128682637,0.10192086167156275,0.14701838115833651,0.3387374110811919,0.5338421460997317,0.05224434612007463,2.152834045106791,0.006296497384959403,0.01150999721970579,0.24191862835164898,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.36396119363107093,0.7244268865013035,0.2338078462160404,-0.006832526649242927,1.2207492252386993,0.005666847646463463,0.6502939001105184,0.08313486338574035,0.014074569747102071,-0.008395612166402397,0.7674009216188923,0.11271596730914195
2019-07-29,0.03962914106125667,0.010632814145324613,-0.12762900404149752,0.1100869993740887,0.2843277841639193,0.9558494128682637,0.10192086167156275,0.14701838115833651,0.3387374110811919,0.5338421460997317,0.05224434612007463,2.152834045106791,0.006296497384959403,0.01150999721970579,0.24191862835164898,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.36396119363107093,0.7244268865013035,0.2338078462160404,-0.006832526649242927,1.2207492252386993,0.005666847646463463,0.6502939001105184,0.08313486338574035,0.014074569747102071,-0.008395612166402397,0.7674009216188923,0.11271596730914195
2019-07-30,0.03962914106125667,0.010632814145324613,-0.12762900404149752,0.1100869993740887,0.2843277841639193,0.9558494128682637,0.10192086167156275,0.14701838115833651,0.3387374110811919,0.5338421460997317,0.05224434612007463,2.152834045106791,0.006296497384959403,0.01150999721970579,0.24191862835164898,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.36396119363107093,0.7244268865013035,0.2338078462160404,-0.006832526649242927,1.2207492252386993,0.005666847646463463,0.6502939001105184,0.08313486338574035,0.014074569747102071,-0.008395612166402397,0.7674009216188923,0.11271596730914195
2019-07-31,0.03962914106125667,0.010632814145324613,-0.12762900404149752,0.1100869993740887,0.2843277841639193,0.9558494128682637,0.10192086167156275,0.14701838115833651,0.3387374110811919,0.5338421460997317,0.05224434612007463,2.152834045106791,0.006296497384959403,0.01150999721970579,0.24191862835164898,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.36396119363107093,0.7244268865013035,0.2338078462160404,-0.006832526649242927,1.2207492252386993,0.005666847646463463,0.6502939001105184,0.08313486338574035,0.014074569747102071,-0.008395612166402397,0.7674009216188923,0.11271596730914195
2019-08-01,0.03962914106125667,0.010632814145324613,-0.12762900404149752,0.1100869993740887,0.2843277841639193,0.9558494128682637,0.10192086167156275,0.14701838115833651,0.3387374110811919,0.5338421460997317,0.05224434612007463,2.152834045106791,0.006296497384959403,0.01150999721970579,0.24191862835164898,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.36396119363107093,0.7244268865013035,0.2338078462160404,-0.006832526649242927,1.2207492252386993,0.005666847646463463,0.6502939001105184,0.08313486338574035,0.014074569747102071,-0.008395612166402397,0.7674009216188923,0.11271596730914195
2019-08-02,0.021338768263753593,0.005725361462867099,0.25525800808299504,0.1100869993740887,0.252735808145706,0.8496439225495678,0.09059632148583355,0.07916374370064273,0.3010999209610594,0.2874534632844709,0.037995888087327005,1.9136302623171475,0.005596886564408357,0.010231108639738478,0.13026387680473406,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.2646990499135061,0.5268559174554934,0.1258965325778679,0.013665053298485854,0.8878176183554177,0.005037197907967522,0.35015825390566374,0.08313486338574035,0.010236050725165141,0.016791224332804795,0.5581097611773762,0.11271596730914195
2019-08-03,0.021338768263753593,0.005725361462867099,0.25525800808299504,0.1100869993740887,0.252735808145706,0.8496439225495678,0.09059632148583355,0.07916374370064273,0.3010999209610594,0.2874534632844709,0.037995888087327005,1.9136302623171475,0.005596886564408357,0.010231108639738478,0.13026387680473406,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.2646990499135061,0.5268559174554934,0.1258965325778679,0.013665053298485854,0.8878176183554177,0.005037197907967522,0.35015825390566374,0.08313486338574035,0.010236050725165141,0.016791224332804795,0.5581097611773762,0.11271596730914195
2019-08-04,0.021338768263753593,0.005725361462867099,0.25525800808299504,0.1100869993740887,0.252735808145706,0.8496439225495678,0.09059632148583355,0.07916374370064273,0.3010999209610594,0.2874534632844709,0.037995888087327005,1.9136302623171475,0.005596886564408357,0.010231108639738478,0.13026387680473406,0.2988100800266799,0.019145927867079932,0.09039187632298346,0.2646990499135061,0.5268559174554934,0.1258965325778679,0.013665053298485854,0.8878176183554177,0.005037197907967522,0.35015825390566374,0.08313486338574035,0.010236050725165141,0.016791224332804795,0.5581097611773762,0.11271596730914195
